53 tcp 192.168.0.2 192.168.0.0
389 tcp 192.168.0.2 192.168.0.0
53 tcp 192.168.0.1 192.168.0.0
389 tcp 192.168.0.1 192.168.0.0
636 tcp 192.168.0.2 192.168.0.0
636 tcp 192.168.0.1 192.168.0.0
80 tcp 192.168.0.100 192.168.0.0
3269 tcp 192.168.0.2 192.168.0.0
139 tcp 192.168.0.2 192.168.0.0
139 tcp 192.168.0.5 192.168.0.0
4899 tcp 192.168.0.2 192.168.0.0
4899 tcp 192.168.0.5 192.168.0.0
464 tcp 192.168.0.2 192.168.0.0
744 tcp 192.168.0.2 192.168.0.0
6106 tcp 192.168.0.2 192.168.0.0
88 tcp 192.168.0.2 192.168.0.0
6101 tcp 192.168.0.2 192.168.0.0
1541 tcp 192.168.0.2 192.168.0.0
3268 tcp 192.168.0.2 192.168.0.0
1540 tcp 192.168.0.2 192.168.0.0
135 tcp 192.168.0.2 192.168.0.0
135 tcp 192.168.0.5 192.168.0.0
10000 tcp 192.168.0.2 192.168.0.0
445 tcp 192.168.0.2 192.168.0.0
445 tcp 192.168.0.5 192.168.0.0
475 tcp 192.168.0.2 192.168.0.0
593 tcp 192.168.0.2 192.168.0.0
1433 tcp 192.168.0.5 192.168.0.0
3269 tcp 192.168.0.1 192.168.0.0
139 tcp 192.168.0.1 192.168.0.0
4899 tcp 192.168.0.1 192.168.0.0
464 tcp 192.168.0.1 192.168.0.0
6106 tcp 192.168.0.1 192.168.0.0
88 tcp 192.168.0.1 192.168.0.0
6101 tcp 192.168.0.1 192.168.0.0
3268 tcp 192.168.0.1 192.168.0.0
135 tcp 192.168.0.1 192.168.0.0
10000 tcp 192.168.0.1 192.168.0.0
445 tcp 192.168.0.1 192.168.0.0
593 tcp 192.168.0.1 192.168.0.0
22 tcp 192.168.0.254 192.168.0.0
443 tcp 192.168.0.254 192.168.0.0
25 tcp 192.168.0.254 192.168.0.0
1723 tcp 192.168.0.254 192.168.0.0
80 tcp 192.168.0.254 192.168.0.0
